Серьезность	Код	Описание	Проект	Файл	Строка	Состояние подавления	Подробности
Ошибка (активно)	CS0117	"DataImportService" не содержит определение для "ValidateImportAccess".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\ImportExport\ImportUnitTests.cs	36		
Ошибка (активно)	CS1503	Аргумент 3: не удается преобразовать из "Scraps.Security.PermissionFlags" в "string".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageDbTests.cs	82		
Ошибка (активно)	CS1503	Аргумент 3: не удается преобразовать из "Scraps.Security.PermissionFlags" в "string".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageDbTests.cs	98		
Ошибка (активно)	CS1503	Аргумент 4: не удается преобразовать из "Scraps.Databases.MSSQL.ForeignKeyJoin[]" в "string".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageDbTests.cs	98		
Ошибка (активно)	CS0426	Имя типа "ExpandForeignKeysOptions" не существует в типе "MSSQL".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageDbTests.cs	141		
Ошибка (активно)	CS0117	"DataImportService" не содержит определение для "ImportToTableSafe".	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageDbTests.cs	299		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	22		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	26		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	26		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	28		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	30		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	30		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	31		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	31		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	32		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	32		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	33		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationOptions" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Integration\CoverageUtilityTests.cs	33		
Ошибка (активно)	CS0103	Имя "DatabaseGenerationMode" не существует в текущем контексте.	Scraps.Tests	D:\Visual Studio Projects\source\repos\DPGT\Scraps\Scraps.Tests\Tests\Setup\DatabaseFixture.cs	63		
